File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
wireshark-2.6.20/wsutil/file_util.c,641,13,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)",,,CWE-732,"        if (SetSecurityDescriptorDacl(sec_attributes_->lpSecurityDescriptor, TRUE, NULL, FALSE)) {",1d2f994c7ae608a12b3cfa0729d122c5c3c634bd6005b0a15cf01773ef5a7db2
wireshark-2.6.20/wsutil/file_util.c,641,13,5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)",,,CWE-732,"        if (SetSecurityDescriptorDacl(sec_attributes_->lpSecurityDescriptor, TRUE, NULL, FALSE)) {",1d2f994c7ae608a12b3cfa0729d122c5c3c634bd6005b0a15cf01773ef5a7db2
wireshark-2.6.20/wsutil/filesystem.c,354,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/self/exe"", executable_path, PATH_MAX)) == -1)",9595580251608fbb062e1c8403c530c9233058e2e702645fe2427fb4c83d6797
wireshark-2.6.20/wsutil/filesystem.c,397,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/curproc/exe"", executable_path, PATH_MAX)) == -1)",b665afaded71d1b0e3dde2d212817d3fe73f55d0fb5a2990663113c7f0eb517b
wireshark-2.6.20/wsutil/filesystem.c,411,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    if ((r = readlink(""/proc/curproc/file"", executable_path, PATH_MAX)) == -1)",5665e88ee83ee6e4ba8a017b76fb85f88aed4647f4fe0e9c2aec1e8b13b07b67
wireshark-2.6.20/capchild/capture_sync.c,557,9,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"        execv(argv[0], argv);",bac81e398220718dfd565f6029e2ef5be7c0062f07b43ca5dccf9ab83eb2b916
wireshark-2.6.20/capchild/capture_sync.c,796,9,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"        execv(argv[0], argv);",bac81e398220718dfd565f6029e2ef5be7c0062f07b43ca5dccf9ab83eb2b916
wireshark-2.6.20/capinfos.c,1416,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/capinfos.c,1426,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/captype.c,70,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/captype.c,80,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/caputils/airpcap_loader.c,919,9,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    a = sscanf(if_info->name,AIRPCAP_DEVICE_NUMBER_EXTRACT_STRING,&n);",701317050a72078c975ef478dd1b128457fdd5151074ee973082335715af7a23
wireshark-2.6.20/dftest.c,135,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/dftest.c,146,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf(stderr, file_open_error_message(err, for_writing), filename);",e69ca8d332d0deae88e3f2bee60a43d891aec19018911a0c126cf51a8ad0ec07
wireshark-2.6.20/dumpcap.c,510,9,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
wireshark-2.6.20/dumpcap.c,529,9,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
wireshark-2.6.20/editcap.c,912,5,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/editcap.c,922,5,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    vfprintf(stderr, msg_format, ap);",86136173c58c733984fb74a144954a9280a9688dd7f7e33902cc12829176cb6b
wireshark-2.6.20/epan/addr_resolv.c,1969,9,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","    if (sscanf(cp, ""%"" G_GUINT16_FORMAT, &id) == 1) {",acc6576787e74e57442de400538de1cc555fd90a44f53ed3da9ae53ca0b83683
wireshark-2.6.20/epan/decode_as.c,341,9,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        fprintf (da_file,",e21432f50d4b2c798d245b0d95e9efca66dcd5fe0aa17564480cb924f4a0b0cd
wireshark-2.6.20/epan/decode_as.c,352,9,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        fprintf (da_file,",e21432f50d4b2c798d245b0d95e9efca66dcd5fe0aa17564480cb924f4a0b0cd
wireshark-2.6.20/epan/decode_as.c,362,9,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        fprintf (da_file,",e21432f50d4b2c798d245b0d95e9efca66dcd5fe0aa17564480cb924f4a0b0cd
wireshark-2.6.20/epan/diam_dict.c,3423,17,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	if (debugging) vfprintf(stderr, fmt, ap);",942c4caae03cca72f49f78ee892e9fe8a8283cfd69231cd6c1f7a6f2728515c7
wireshark-2.6.20/epan/dissectors/asn1/camel/packet-camel-template.c,317,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
