Level,Category,Name,Warning
5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)"
5,misc,SetSecurityDescriptorDacl,"Never create NULL ACLs; an attacker can set it to Everyone (Deny All Access), which would even forbid administrator access (CWE-732)"
5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)"
5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)"
5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)"
4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78)
4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78)
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)"
