Line,Column,Level,Category,Name,CWEs,,,,,,,
129,5,5,race,readlink,"CWE-362, CWE-20",,,,,,,
607,15,5,race,readlink,"CWE-362, CWE-20",,,,,,,
32,13,5,race,chmod,CWE-362,,,,,,,
277,7,5,race,chmod,CWE-362,,,,,,,
764,7,5,race,readlink,"CWE-362, CWE-20",,,,,,,
1684,25,5,buffer,strncat,CWE-120,,,,,,,
1712,29,5,buffer,strncat,CWE-120,,,,,,,
106,35,4,format,printf,CWE-134,,,,,,,
280,9,4,format,snprintf,CWE-134,,,,,,,
280,18,4,format,_snprintf,CWE-134,,,,,,,
221,7,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
445,4,4,format,printf,CWE-134,,,,,,,
448,4,4,format,printf,CWE-134,,,,,,,
56,9,4,format,vfprintf,CWE-134,,,,,,,
75,9,4,format,vfprintf,CWE-134,,,,,,,
93,9,4,format,vfprintf,CWE-134,,,,,,,
106,9,4,format,vfprintf,CWE-134,,,,,,,
109,7,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
295,2,4,buffer,strcpy,CWE-120,,,,,,,
77,6,4,shell,system,CWE-78,,,,,,,
38,2,4,format,vsprintf,CWE-134,,,,,,,
215,2,4,buffer,strcpy,CWE-120,,,,,,,
218,3,4,buffer,strcpy,CWE-120,,,,,,,
226,3,4,buffer,sprintf,CWE-120,,,,,,,
39,2,4,format,vsprintf,CWE-134,,,,,,,
234,10,4,format,fprintf,CWE-134,,,,,,,
59,40,4,shell,popen,CWE-78,,,,,,,
627,19,4,format,fprintf,CWE-134,,,,,,,
629,19,4,format,fprintf,CWE-134,,,,,,,
286,5,4,buffer,strcpy,CWE-120,,,,,,,
122,9,4,buffer,strcpy,CWE-120,,,,,,,
143,14,4,shell,system,CWE-78,,,,,,,
1010,3,4,buffer,strcpy,CWE-120,,,,,,,
263,2,4,format,printf,CWE-134,,,,,,,
268,2,4,format,sprintf,CWE-134,,,,,,,
274,2,4,format,printf,CWE-134,,,,,,,
606,29,4,format,snprintf,CWE-134,,,,,,,
608,42,4,format,sprintf,CWE-134,,,,,,,
162,3,4,format,vfprintf,CWE-134,,,,,,,
181,3,4,format,vfprintf,CWE-134,,,,,,,
113,30,4,format,printf,CWE-134,,,,,,,
116,30,4,format,printf,CWE-134,,,,,,,
1443,21,4,format,fprintf,CWE-134,,,,,,,
29,5,4,format,fprintf,CWE-134,,,,,,,
40,5,4,format,vfprintf,CWE-134,,,,,,,
41,5,4,format,vprintf,CWE-134,,,,,,,
62,7,4,crypto,crypt,CWE-327,,,,,,,
92,7,4,misc,getpass,"CWE-676, CWE-120, CWE-20",,,,,,,
122,7,4,tmpfile,mktemp,CWE-377,,,,,,,
126,5,4,format,printf,CWE-134,,,,,,,
163,5,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
175,6,4,format,syslog,CWE-134,,,,,,,
176,5,4,shell,system,CWE-78,,,,,,,
185,5,4,format,vsprintf,CWE-134,,,,,,,
64,8,4,format,vsnprintf,CWE-134,,,,,,,
75,8,4,format,vsnprintf,CWE-134,,,,,,,
511,12,4,format,vsprintf,CWE-134,,,,,,,
10,3,4,format,vfprintf,CWE-134,,,,,,,
1841,5,4,buffer,strcat,CWE-120,,,,,,,
2616,3,4,buffer,strcat,CWE-120,,,,,,,
195,6,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
696,9,4,buffer,strcat,CWE-120,,,,,,,
309,3,4,format,fprintf,CWE-134,,,,,,,
316,3,4,format,fprintf,CWE-134,,,,,,,
300,3,4,buffer,strcpy,CWE-120,,,,,,,
443,2,4,buffer,strcpy,CWE-120,,,,,,,
487,2,4,buffer,strcpy,CWE-120,,,,,,,
713,5,4,buffer,strcpy,CWE-120,,,,,,,
523,2,4,buffer,strcpy,CWE-120,,,,,,,
524,2,4,buffer,strcpy,CWE-120,,,,,,,
628,6,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
865,8,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
931,9,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
1090,10,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,
122,23,4,format,snprintf,CWE-134,,,,,,,
129,24,4,format,vsnprintf,CWE-134,,,,,,,
64,20,4,format,printf,CWE-134,,,,,,,
181,5,4,buffer,sprintf,CWE-120,,,,,,,
65,10,4,format,vsnprintf,CWE-134,,,,,,,
67,10,4,format,snprintf,CWE-134,,,,,,,
152,9,4,format,vsprintf,CWE-134,,,,,,,
616,46,4,crypto,crypt,CWE-327,,,,,,,
668,47,4,crypto,crypt,CWE-327,,,,,,,
1307,46,4,crypto,crypt,CWE-327,,,,,,,
1357,47,4,crypto,crypt,CWE-327,,,,,,,
2344,46,4,crypto,crypt,CWE-327,,,,,,,
2394,47,4,crypto,crypt,CWE-327,,,,,,,
2953,46,4,crypto,crypt,CWE-327,,,,,,,
3003,47,4,crypto,crypt,CWE-327,,,,,,,
3782,43,4,crypto,crypt,CWE-327,,,,,,,
3797,32,4,crypto,crypt,CWE-327,,,,,,,
3819,29,4,crypto,crypt,CWE-327,,,,,,,
485,33,4,crypto,crypt,CWE-327,,,,,,,
925,11,4,crypto,crypt,CWE-327,,,,,,,
481,15,4,format,vsnprintf,CWE-134,,,,,,,
258,24,4,crypto,crypt,CWE-327,,,,,,,
584,24,4,crypto,crypt,CWE-327,,,,,,,
901,27,4,crypto,crypt,CWE-327,,,,,,,
917,28,4,crypto,crypt,CWE-327,,,,,,,
1204,56,4,crypto,crypt,CWE-327,,,,,,,
1208,57,4,crypto,crypt,CWE-327,,,,,,,
142,35,4,crypto,crypt,CWE-327,,,,,,,
879,38,4,crypto,crypt,CWE-327,,,,,,,
125,8,4,buffer,strcpy,CWE-120,,,,,,,
28,9,4,format,snprintf,CWE-134,,,,,,,
28,18,4,format,_snprintf,CWE-134,,,,,,,
30,9,4,format,vsnprintf,CWE-134,,,,,,,
154,3,4,buffer,strcpy,CWE-120,,,,,,,
31,13,4,race,access,CWE-362/CWE-367!,,,,,,,
137,3,4,buffer,strcpy,CWE-120,,,,,,,
142,8,4,buffer,strcpy,CWE-120,,,,,,,
143,12,4,race,access,CWE-362/CWE-367!,,,,,,,
158,5,4,format,fprintf,CWE-134,,,,,,,
86,18,4,format,vsnprintf,CWE-134,,,,,,,
88,18,4,format,vsnprintf,CWE-134,,,,,,,
110,11,4,format,snprintf,CWE-134,,,,,,,
110,20,4,format,_snprintf,CWE-134,,,,,,,
216,9,4,buffer,strcpy,CWE-120,,,,,,,
614,5,4,buffer,strcpy,CWE-120,,,,,,,
616,5,4,buffer,strcat,CWE-120,,,,,,,
417,11,4,format,vsprintf,CWE-134,,,,,,,
421,11,4,format,vsprintf,CWE-134,,,,,,,
425,11,4,format,vsnprintf,CWE-134,,,,,,,
428,11,4,format,vsnprintf,CWE-134,,,,,,,
511,5,4,format,sprintf,CWE-134,,,,,,,
517,11,4,format,sprintf,CWE-134,,,,,,,
522,5,4,format,snprintf,CWE-134,,,,,,,
526,11,4,format,snprintf,CWE-134,,,,,,,
529,5,4,buffer,strcpy,CWE-120,,,,,,,
555,9,4,buffer,strcpy,CWE-120,,,,,,,
44,11,4,format,snprintf,CWE-134,,,,,,,
44,20,4,format,_snprintf,CWE-134,,,,,,,
473,5,4,buffer,strcpy,CWE-120,,,,,,,
474,5,4,buffer,strcat,CWE-120,,,,,,,
513,5,4,buffer,strcpy,CWE-120,,,,,,,
526,9,4,buffer,strcat,CWE-120,,,,,,,
242,39,4,format,fprintf,CWE-134,,,,,,,
243,39,4,format,fprintf,CWE-134,,,,,,,
244,40,4,format,fprintf,CWE-134,,,,,,,
245,48,4,format,fprintf,CWE-134,,,,,,,
246,49,4,format,fprintf,CWE-134,,,,,,,
148,7,4,buffer,strcat,CWE-120,,,,,,,
153,15,4,shell,ShellExecute,CWE-78,,,,,,,
213,16,4,format,snprintf,CWE-134,,,,,,,
214,30,4,format,printf,CWE-134,,,,,,,
218,16,4,format,vsnprintf,CWE-134,,,,,,,
220,29,4,format,printf,CWE-134,,,,,,,
225,30,4,format,printf,CWE-134,,,,,,,
230,29,4,format,printf,CWE-134,,,,,,,
235,30,4,format,printf,CWE-134,,,,,,,
241,29,4,format,printf,CWE-134,,,,,,,
