Line,Column,Level,Category,Name,CWEs,,,,,,,,
639,10,5,misc,SetSecurityDescriptorDacl,CWE-732,,,,,,,,
639,10,5,misc,SetSecurityDescriptorDacl,CWE-732,,,,,,,,
375,14,5,race,readlink,"CWE-362, CWE-20",,,,,,,,
418,14,5,race,readlink,"CWE-362, CWE-20",,,,,,,,
432,14,5,race,readlink,"CWE-362, CWE-20",,,,,,,,
571,9,4,shell,execv,CWE-78,,,,,,,,
810,9,4,shell,execv,CWE-78,,,,,,,,
1514,3,4,format,vfprintf,CWE-134,,,,,,,,
1524,3,4,format,vfprintf,CWE-134,,,,,,,,
66,3,4,format,vfprintf,CWE-134,,,,,,,,
76,3,4,format,vfprintf,CWE-134,,,,,,,,
920,9,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,,
142,2,4,format,vfprintf,CWE-134,,,,,,,,
153,2,4,format,fprintf,CWE-134,,,,,,,,
469,9,4,format,vfprintf,CWE-134,,,,,,,,
488,9,4,format,vfprintf,CWE-134,,,,,,,,
1628,13,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,,
985,5,4,format,vfprintf,CWE-134,,,,,,,,
995,5,4,format,vfprintf,CWE-134,,,,,,,,
2100,9,4,buffer,sscanf,"CWE-120, CWE-20",,,,,,,,
323,3,4,format,vfprintf,CWE-134,,,,,,,,
1684,76,4,race,access,CWE-362/CWE-367!,,,,,,,,
1699,73,4,race,access,CWE-362/CWE-367!,,,,,,,,
35,21,4,format,printf,CWE-134,,,,,,,,
162,3,4,format,vfprintf,CWE-134,,,,,,,,
106,2,4,format,vfprintf,CWE-134,,,,,,,,
111,3,4,format,vfprintf,CWE-134,,,,,,,,
2141,21,4,race,access,CWE-362/CWE-367!,,,,,,,,
2157,27,4,race,access,CWE-362/CWE-367!,,,,,,,,
1296,3,4,format,vfprintf,CWE-134,,,,,,,,
1318,85,4,race,access,CWE-362/CWE-367!,,,,,,,,
1336,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
1339,86,4,race,access,CWE-362/CWE-367!,,,,,,,,
1348,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
1351,85,4,race,access,CWE-362/CWE-367!,,,,,,,,
1358,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
1361,85,4,race,access,CWE-362/CWE-367!,,,,,,,,
1373,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
40,26,4,format,fprintf,CWE-134,,,,,,,,
1988,84,4,race,access,CWE-362/CWE-367!,,,,,,,,
1999,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
2016,82,4,race,access,CWE-362/CWE-367!,,,,,,,,
2026,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
2043,82,4,race,access,CWE-362/CWE-367!,,,,,,,,
2053,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
2070,83,4,race,access,CWE-362/CWE-367!,,,,,,,,
2086,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
2103,81,4,race,access,CWE-362/CWE-367!,,,,,,,,
2119,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
383,13,4,race,access,CWE-362/CWE-367!,guint32 access),cc0db921e462a033043de29bdb0861e0261006451bfad3737b662bd66dde9f47,,,,,,
386,48,4,race,access,CWE-362/CWE-367!,,,,,,,,
389,50,4,race,access,CWE-362/CWE-367!,,,,,,,,
401,35,4,race,access,CWE-362/CWE-367!,,,,,,,,
404,48,4,race,access,CWE-362/CWE-367!,,,,,,,,
407,49,4,race,access,CWE-362/CWE-367!,,,,,,,,
419,34,4,race,access,CWE-362/CWE-367!,,,,,,,,
422,46,4,race,access,CWE-362/CWE-367!,,,,,,,,
207,15,4,race,access,CWE-362/CWE-367!,,,,,,,,
209,88,4,race,access,CWE-362/CWE-367!,,,,,,,,
210,87,4,race,access,CWE-362/CWE-367!,,,,,,,,
211,74,4,race,access,CWE-362/CWE-367!,,,,,,,,
212,87,4,race,access,CWE-362/CWE-367!,,,,,,,,
213,84,4,race,access,CWE-362/CWE-367!,,,,,,,,
214,77,4,race,access,CWE-362/CWE-367!,,,,,,,,
567,78,4,race,access,CWE-362/CWE-367!,,,,,,,,
580,72,4,race,access,CWE-362/CWE-367!,,,,,,,,
207,3,4,format,snprintf,CWE-134,,,,,,,,
39,41,4,format,fprintf,CWE-134,,,,,,,,
45,41,4,format,fprintf,CWE-134,,,,,,,,
194,96,4,crypto,crypt,CWE-327,,,,,,,,
